primer_cebo_G | seed=2 lobos n=3 G=True sev_eval=0 | oracle sev=5
t=     0  DECISION #1   CEBO_d180  -> K_MAX             ticks= 4500 r=0
t=  4500  DECISION #2   CEBO_d90   -> K_MAX             ticks= 4500 r=0
t=  9000  DECISION #3   CEBO_d180  -> K_MAX             ticks= 4500 r=0
t= 13500  DECISION #4   CEBO_keep  -> K_MAX             ticks= 4500 r=0
t= 18000  DECISION #5   MASA       -> K_MAX             ticks= 4500 r=0
t= 22500  DECISION #6   CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22550  DECISION #7   CEBO_keep  -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22600  DECISION #8   CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22650  DECISION #9   CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22700  DECISION #10  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22750  DECISION #11  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22800  DECISION #12  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22850  DECISION #13  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22900  DECISION #14  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 22950  DECISION #15  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23000  DECISION #16  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23050  DECISION #17  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23100  DECISION #18  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23150  DECISION #19  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23200  DECISION #20  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23250  DECISION #21  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23300  DECISION #22  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23350  DECISION #23  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23400  DECISION #24  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23450  DECISION #25  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23500  DECISION #26  CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 23550  DECISION #27  CEBO_d90   -> FIN_EPISODIO      ticks=   20 r=0
t= 22551  capa SHOW_START mode=keep
