redecision_tras_muerte | seed=6 lobos n=3 G=False sev_eval=4 | oracle sev=0
t=     0  DECISION #1   CEBO_d180  -> K_MAX             ticks= 4500 r=0
t=  4500  DECISION #2   CEBO_d90   -> K_MAX             ticks= 4500 r=0
t=  9000  DECISION #3   CEBO_d180  -> K_MAX             ticks= 4500 r=0
t= 13500  DECISION #4   CEBO_keep  -> MUERTE            ticks=  752 r=1
t= 14252  DECISION #5   CEBO_d90   -> ABORT_BAIT_FAILED ticks=   50 r=0
t= 14302  DECISION #6   CEBO_d90   -> MUERTE            ticks=  127 r=1
t= 14429  DECISION #7   CEBO_d90   -> MUERTE            ticks=  170 r=1
t= 14599  DECISION #8   CEBO_d90   -> ABORT_BAIT_FAILED ticks=   67 r=0
t= 14666  DECISION #9   CEBO_keep  -> FIN_EPISODIO      ticks=   12 r=1
t= 13750  capa SHOW_START mode=keep
